Site address,Site status,Owner/Developer,Tenure type,Site capacity,Year 24/25,Year 25/26,Year 26/27,Year 27/28
Queen Victoria Works,Constrained,Private,Private,50,0,0,0,0
"Riverside Drive, Former Homebase Site",Under Construction,H & H Properties Ltd,Private,135,0,0,25,25
"Monifieth Road, Armitstead",Under Construction,H & H Properties Ltd,Private,26,26,0,0,0
"Gray Street, 44",Site Complete,Deanscourt Ltd,Private,14,0,0,0,0
"East School Road, Former Downfield Ps",Under Construction,H & H Properties Ltd,Private,23,0,23,0,0
"St Leonard Place, Former Macalpine Ps",Under Construction,H & H Properties Ltd,Private,33,1,0,0,0
"Dura Street, 3",Planning Consent,Whittet Ltd,Private,8,0,0,8,0
Seagate/Trades Lane,Under Construction,Hillcrest Ha,RSL,28,28,0,0,0
"Earn Crescent, Land At",Constrained,Dundee City Council,Private,20,0,0,0,0
"Hebrides Drive West, Mom-Phase 4",Allocated in LDP,Dundee City Council,Private,10,0,0,0,0
"Pitkerro Road, 189-197",Site Complete,Home Scotland,RSL,29,0,0,0,0
"Bughties Road, 22",Under Construction,Private,Private,1,0,0,0,0
"West Grove Avenue,10",Under Construction,Private,Private,1,0,0,0,0
"Clatto, Land At",Constrained,Scottish Water,Private,60,0,0,0,20
"Kirkton Road, Former St Columbas Ps",Under Construction,H & H Properties Ltd,Private,21,10,11,0,0
Pitkerro Mill,Under Construction,South Tay Ltd,Private,6,6,0,0,0
"Western Gateway, South Gray",Under Construction,Springfield,Private,341,0,40,40,60
"Western Gateway, Swallow",Under Construction,Springfield,Private,230,24,0,0,0
"Linlathen House, Land To East Of",Constrained,Private,Private,60,0,0,0,0
Dundee Western Liff Phase 2,Under Construction,Springfield,Private,100,0,24,36,26
"Gardyne Road, Winnocks, 1",Site Complete,Private,Private,7,0,0,0,0
"Collingwood Crescent, 20, Land To West Of",Under Construction,Private,Private,1,0,0,0,0
"Dudhope Terrace, 7",Consent Expired,Private,Private,1,0,0,0,0
"Monifieth Road, 96",Under Construction,Private,Private,1,0,0,0,0
"Brook Street, 197, 2/2, Broughty Ferry",Planning Consent,Private,Private,1,0,0,0,0
