Site address,Owner/Developer,Tenure type,Site capacity,Site status,Year 24/25,Year 25/26,Year 26/27,Year 27/28
Queen Victoria Works,Private,Private,50,Constrained,0,0,0,0
"Riverside Drive, Former Homebase Site",H & H Properties Ltd,Private,135,Under Construction,0,0,25,25
"Monifieth Road, Armitstead",H & H Properties Ltd,Private,26,Under Construction,26,0,0,0
"Gray Street, 44",Deanscourt Ltd,Private,14,Site Complete,0,0,0,0
"East School Road, Former Downfield Ps",H & H Properties Ltd,Private,23,Under Construction,0,23,0,0
"St Leonard Place, Former Macalpine Ps",H & H Properties Ltd,Private,33,Under Construction,1,0,0,0
"Dura Street, 3",Whittet Ltd,Private,8,Planning Consent,0,0,8,0
Seagate/Trades Lane,Hillcrest Ha,RSL,28,Under Construction,28,0,0,0
"Earn Crescent, Land At",Dundee City Council,Private,20,Constrained,0,0,0,0
"Hebrides Drive West, Mom-Phase 4",Dundee City Council,Private,10,Allocated in LDP,0,0,0,0
"Pitkerro Road, 189-197",Home Scotland,RSL,29,Site Complete,0,0,0,0
"Bughties Road, 22",Private,Private,1,Under Construction,0,0,0,0
"West Grove Avenue,10",Private,Private,1,Under Construction,0,0,0,0
"Clatto, Land At",Scottish Water,Private,60,Constrained,0,0,0,20
"Kirkton Road, Former St Columbas Ps",H & H Properties Ltd,Private,21,Under Construction,10,11,0,0
Pitkerro Mill,South Tay Ltd,Private,6,Under Construction,6,0,0,0
"Western Gateway, South Gray",Springfield,Private,341,Under Construction,0,40,40,60
"Western Gateway, Swallow",Springfield,Private,230,Under Construction,24,0,0,0
"Linlathen House, Land To East Of",Private,Private,60,Constrained,0,0,0,0
Dundee Western Liff Phase 2,Springfield,Private,100,Under Construction,0,24,36,26
"Gardyne Road, Winnocks, 1",Private,Private,7,Site Complete,0,0,0,0
"Collingwood Crescent, 20, Land To West Of",Private,Private,1,Under Construction,0,0,0,0
"Dudhope Terrace, 7",Private,Private,1,Consent Expired,0,0,0,0
"Monifieth Road, 96",Private,Private,1,Under Construction,0,0,0,0
"Brook Street, 197, 2/2, Broughty Ferry",Private,Private,1,Planning Consent,0,0,0,0
"Dundee Road, Holly Hill, 69",Private,Private,1,Planning Consent,0,0,0,0
"Derby Street, Former Multis",Dcc/Hillcrest,DCC/RSL,162,Under Construction,26,0,0,0
