OBJECTID,TPOREFNO,ADDRESS1,ADDRESS2,ADDRESS3,GlobalID,Year_2digit,Year
1,17/08,Rosemeade,9 Castleroy Road,Broughty Ferry,919062A0-E806-4037-A2Fa-F6004D0Fe6B1,8,2008
2,02/12,Moyness Nursing Home,76 Grove Road,Dundee,84E0B68B-3Acf-41Fb-A5C7-C5B121D3F702,12,2012
3,07/08,Land North Of Foggyley Gardens,Foggyley Gardens,Dundee,9B1228D3-8482-451E-95B2-8Eed74B43351,8,2008
4,04/08,Wimberley Houses,Glamis Drive,"Dundee, Dd2 1Up",47Ec5B49-E960-47Da-9774-1E3491D3A782,8,2008
5,03/09,Greenwood,3 Castleroy Road,Broughty Ferry,0D7Cc36B-D12F-4B4B-Ab98-B725B3A30E26,9,2009
6,06/09,North Grange,Arbroath Road,Dundee,B9208F78-E6F4-4679-8333-008347F0E409,9,2009
7,08/84,Burnbank,Victoria Road,West Ferry,04C8E9C0-1534-43F2-8Dea-F4161A34B178,84,1984
8,03/94,Craigiebarns House,Craigiebarn Road,Dundee,038F1Faf-71Ef-4Adb-A8Ee-31F889Ce7Dc3,94,1994
9,05/01,Shiell Court,Broughty Ferry,Dundee,4E91D899-A262-4696-9Fdd-Fcacda81799C,1,2001
10,02/03,Claverhouse,Dundee,Dundee,Fb5Ba08E-Ee00-48F8-9Dd2-A30E775Da056,3,2003
11,02/96,23/25 Laird Street,Dundee,Dundee,22E0977D-44C6-4152-Ade9-F74D7D67F29B,96,1996
12,08/04,18 Glamis Road,Dundee,Dundee,8Ce37Cb3-4E26-4F23-8377-4447576F6F1C,4,2004
13,10/05,Ground At Pitalpin Hpuse,Pitalpin Street,Dundee,5E4496C6-Fcc3-4F9F-9B2D-31A5F564682F,5,2005
14,01/07,81 Dundee Road,Broughty Ferry,Dundee,18896685-2Ac9-4E7D-9389-Bc2829E49D93,7,2007
15,01/08,The Friary,8 To 18 Tullideph Road,Dundee,33D3010D-01Af-4Ad3-8B72-0F6C8553Dd40,8,2008
16,03/01,Harris Academy Annex,Logie School,Blackness Road,C63016B7-521A-4623-862D-8913D071Dec8,1,2001
17,03/04,The Kittiwake,Dalhousie Road,Dundee,B823C6C4-9Fbb-4C61-A0Be-48C6B71017Ee,4,2004
18,11/07,Brook Gardens/Brook Close,Brook Street,Dundee,9Afaaff6-Fa80-4133-94D8-76B13Bc397C0,7,2007
19,12/08,Craig Gowan,42 Camphill Road,Broughty Ferry,4C9D919E-D96C-4D35-9872-Dd7434F4D285,8,2008
21,03/12,St Ronans,Dalkeith Road,Dundee,576D0C37-F472-491B-B547-7C1F65E62161,12,2012
23,02/02,28 Long Lane,Broughty Ferry,Dundee,6Cb4926B-F53B-4917-Adf8-Ccce1Bd5558F,2,2002
24,02/09,Ardroy,53 Camphill Road,Broughty Ferry,Eb0Facce-4Faa-44B1-B9Ee-211151B34Fb2,9,2009
25,04/13,Ross Gardens/Cromarty Drive,Dundee,Dundee,D7Be4Ef1-B38B-42B3-8Bd0-D881393B7E50,13,2013
26,02/84,95 Dundee Road,West Ferry,Dundee,C3C6C0E6-7A92-413E-8021-B412Bae1506B,84,1984
